,STNAME,State,City,PopEstimate2016
4414,Colorado,CO,LARIMER COUNTY,339993
4415,Colorado,CO,BERTHOUD TOWN (PT.),6291
4416,Colorado,CO,ESTES PARK TOWN,6362
4417,Colorado,CO,FORT COLLINS CITY,164207
4418,Colorado,CO,JOHNSTOWN TOWN (PT.),794
4419,Colorado,CO,LOVELAND CITY,76897
4420,Colorado,CO,TIMNATH TOWN,2947
4421,Colorado,CO,WELLINGTON TOWN,8516
4422,Colorado,CO,WINDSOR TOWN (PT.),5501
4423,Colorado,CO,BALANCE OF LARIMER COUNTY,68478
4424,Colorado,CO,LAS ANIMAS COUNTY,14103
4425,Colorado,CO,AGUILAR TOWN,473
4426,Colorado,CO,BRANSON TOWN,67
4427,Colorado,CO,COKEDALE TOWN,118
4428,Colorado,CO,KIM TOWN,66
4429,Colorado,CO,STARKVILLE TOWN,53
4430,Colorado,CO,TRINIDAD CITY,8103
4431,Colorado,CO,BALANCE OF LAS ANIMAS COUNTY,5223
4432,Colorado,CO,LINCOLN COUNTY,5643
4433,Colorado,CO,ARRIBA TOWN,201
4434,Colorado,CO,GENOA TOWN,147
4435,Colorado,CO,HUGO TOWN,745
4436,Colorado,CO,LIMON TOWN,1955
4437,Colorado,CO,BALANCE OF LINCOLN COUNTY,2595
4438,Colorado,CO,LOGAN COUNTY,21919
4439,Colorado,CO,CROOK TOWN,109
4440,Colorado,CO,FLEMING TOWN,400
4441,Colorado,CO,ILIFF TOWN,258
4442,Colorado,CO,MERINO TOWN,282
4443,Colorado,CO,PEETZ TOWN,239
4444,Colorado,CO,STERLING CITY,13988
4445,Colorado,CO,BALANCE OF LOGAN COUNTY,6643
4446,Colorado,CO,MESA COUNTY,150083
4447,Colorado,CO,COLLBRAN TOWN,695
4448,Colorado,CO,DE BEQUE TOWN,491
4449,Colorado,CO,FRUITA CITY,12924
4450,Colorado,CO,GRAND JUNCTION CITY,61881
4451,Colorado,CO,PALISADE TOWN,2644
4452,Colorado,CO,BALANCE OF MESA COUNTY,71448
4453,Colorado,CO,MINERAL COUNTY,732
4454,Colorado,CO,CITY OF CREEDE TOWN,296
4455,Colorado,CO,BALANCE OF MINERAL COUNTY,436
4456,Colorado,CO,MOFFAT COUNTY,13109
4457,Colorado,CO,CRAIG CITY,8952
4458,Colorado,CO,DINOSAUR TOWN,315
4459,Colorado,CO,BALANCE OF MOFFAT COUNTY,3842
4460,Colorado,CO,MONTEZUMA COUNTY,26999
4461,Colorado,CO,CORTEZ CITY,9007
4462,Colorado,CO,DOLORES TOWN,997
4463,Colorado,CO,MANCOS TOWN,1460
4464,Colorado,CO,BALANCE OF MONTEZUMA COUNTY,15535
4465,Colorado,CO,MONTROSE COUNTY,41471
4466,Colorado,CO,MONTROSE CITY,19311
4467,Colorado,CO,NATURITA TOWN,530
4468,Colorado,CO,NUCLA TOWN,710
4469,Colorado,CO,OLATHE TOWN,1808
4470,Colorado,CO,BALANCE OF MONTROSE COUNTY,19112
4471,Colorado,CO,MORGAN COUNTY,28274
4472,Colorado,CO,BRUSH CITY,5408
4473,Colorado,CO,FORT MORGAN CITY,11348
4474,Colorado,CO,HILLROSE TOWN,250
4475,Colorado,CO,LOG LANE VILLAGE TOWN,864
4476,Colorado,CO,WIGGINS TOWN,886
4477,Colorado,CO,BALANCE OF MORGAN COUNTY,9518
4478,Colorado,CO,OTERO COUNTY,18295
4479,Colorado,CO,CHERAW TOWN,247
4480,Colorado,CO,FOWLER TOWN,1145
4481,Colorado,CO,LA JUNTA CITY,6930
4482,Colorado,CO,MANZANOLA TOWN,416
4483,Colorado,CO,ROCKY FORD CITY,3816
4484,Colorado,CO,SWINK TOWN,592
4485,Colorado,CO,BALANCE OF OTERO COUNTY,5149
4486,Colorado,CO,OURAY COUNTY,4857
4487,Colorado,CO,OURAY CITY,1033
4488,Colorado,CO,RIDGWAY TOWN,979
4489,Colorado,CO,BALANCE OF OURAY COUNTY,2845
4490,Colorado,CO,PARK COUNTY,17166
4491,Colorado,CO,ALMA TOWN,289
4492,Colorado,CO,FAIRPLAY TOWN,704
4493,Colorado,CO,BALANCE OF PARK COUNTY,16173
4494,Colorado,CO,PHILLIPS COUNTY,4288
4495,Colorado,CO,HAXTUN TOWN,917
4496,Colorado,CO,HOLYOKE CITY,2213
4497,Colorado,CO,PAOLI TOWN,34
4498,Colorado,CO,BALANCE OF PHILLIPS COUNTY,1124
4499,Colorado,CO,PITKIN COUNTY,17752
4500,Colorado,CO,ASPEN CITY,6871
4501,Colorado,CO,BASALT TOWN (PT.),954
4502,Colorado,CO,SNOWMASS VILLAGE TOWN,2900
4503,Colorado,CO,BALANCE OF PITKIN COUNTY,7027
4504,Colorado,CO,PROWERS COUNTY,11922
4505,Colorado,CO,GRANADA TOWN,483
4506,Colorado,CO,HARTMAN TOWN,73
4507,Colorado,CO,HOLLY TOWN,757
4508,Colorado,CO,LAMAR CITY,7534
4509,Colorado,CO,WILEY TOWN,386
4510,Colorado,CO,BALANCE OF PROWERS COUNTY,2689
4511,Colorado,CO,PUEBLO COUNTY,165123
4512,Colorado,CO,BOONE TOWN,349
4513,Colorado,CO,PUEBLO CITY,110291
4514,Colorado,CO,RYE TOWN,157
4515,Colorado,CO,BALANCE OF PUEBLO COUNTY,54326
4516,Colorado,CO,RIO BLANCO COUNTY,6545
4517,Colorado,CO,MEEKER TOWN,2352
4518,Colorado,CO,RANGELY TOWN,2364
4519,Colorado,CO,BALANCE OF RIO BLANCO COUNTY,1829
4520,Colorado,CO,RIO GRANDE COUNTY,11479
4521,Colorado,CO,CENTER TOWN (PT.),209
4522,Colorado,CO,DEL NORTE TOWN,1598
4523,Colorado,CO,MONTE VISTA CITY,4266
4524,Colorado,CO,SOUTH FORK TOWN,365
4525,Colorado,CO,BALANCE OF RIO GRANDE COUNTY,5041
4526,Colorado,CO,ROUTT COUNTY,24648
4527,Colorado,CO,HAYDEN TOWN,1874
4528,Colorado,CO,OAK CREEK TOWN,914
4529,Colorado,CO,STEAMBOAT SPRINGS CITY,12690
4530,Colorado,CO,YAMPA TOWN,447
4531,Colorado,CO,BALANCE OF ROUTT COUNTY,8723
4532,Colorado,CO,SAGUACHE COUNTY,6389
4533,Colorado,CO,BONANZA TOWN,16
4534,Colorado,CO,CENTER TOWN (PT.),2025
4535,Colorado,CO,CRESTONE TOWN,143
4536,Colorado,CO,MOFFAT TOWN,118
4537,Colorado,CO,SAGUACHE TOWN,488
4538,Colorado,CO,BALANCE OF SAGUACHE COUNTY,3599
4539,Colorado,CO,SAN JUAN COUNTY,694
4540,Colorado,CO,SILVERTON TOWN,630
4541,Colorado,CO,BALANCE OF SAN JUAN COUNTY,64
4542,Colorado,CO,SAN MIGUEL COUNTY,8017
4543,Colorado,CO,MOUNTAIN VILLAGE TOWN,1415
4544,Colorado,CO,NORWOOD TOWN,572
4545,Colorado,CO,OPHIR TOWN,171
4546,Colorado,CO,SAWPIT TOWN,42
4547,Colorado,CO,TELLURIDE TOWN,2444
4548,Colorado,CO,BALANCE OF SAN MIGUEL COUNTY,3373
4549,Colorado,CO,SEDGWICK COUNTY,2407
4550,Colorado,CO,JULESBURG TOWN,1241
4551,Colorado,CO,OVID TOWN,315
4552,Colorado,CO,SEDGWICK TOWN,149
4553,Colorado,CO,BALANCE OF SEDGWICK COUNTY,702
4554,Colorado,CO,SUMMIT COUNTY,30374
4555,Colorado,CO,BLUE RIVER TOWN,913
4556,Colorado,CO,BRECKENRIDGE TOWN,4896
4557,Colorado,CO,DILLON TOWN,961
4558,Colorado,CO,FRISCO TOWN,3084
4559,Colorado,CO,MONTEZUMA TOWN,68
4560,Colorado,CO,SILVERTHORNE TOWN,4505
4561,Colorado,CO,BALANCE OF SUMMIT COUNTY,15947
4562,Colorado,CO,TELLER COUNTY,24043
4563,Colorado,CO,CRIPPLE CREEK CITY,1175
4564,Colorado,CO,GREEN MOUNTAIN FALLS TOWN (PT.),28
4565,Colorado,CO,VICTOR CITY,403
4566,Colorado,CO,WOODLAND PARK CITY,7390
4567,Colorado,CO,BALANCE OF TELLER COUNTY,15047
4568,Colorado,CO,WASHINGTON COUNTY,4908
4569,Colorado,CO,AKRON TOWN,1735
4570,Colorado,CO,OTIS TOWN,483
4571,Colorado,CO,BALANCE OF WASHINGTON COUNTY,2690
4572,Colorado,CO,WELD COUNTY,294932
4573,Colorado,CO,AULT TOWN,1683
4574,Colorado,CO,BERTHOUD TOWN (PT.),77
4575,Colorado,CO,BRIGHTON CITY (PT.),872
4576,Colorado,CO,DACONO CITY,5090
4577,Colorado,CO,EATON TOWN,5086
4578,Colorado,CO,ERIE TOWN (PT.),12574
4579,Colorado,CO,EVANS CITY,21615
4580,Colorado,CO,FIRESTONE TOWN,12917
4581,Colorado,CO,FORT LUPTON CITY,7971
4582,Colorado,CO,FREDERICK TOWN,12154
4583,Colorado,CO,GARDEN CITY TOWN,267
4584,Colorado,CO,GILCREST TOWN,1085
4585,Colorado,CO,GREELEY CITY,103990
4586,Colorado,CO,GROVER TOWN,150
4587,Colorado,CO,HUDSON TOWN,1585
4588,Colorado,CO,JOHNSTOWN TOWN (PT.),14595
4589,Colorado,CO,KEENESBURG TOWN,1200
4590,Colorado,CO,KERSEY TOWN,1593
4591,Colorado,CO,LA SALLE TOWN,2126
4592,Colorado,CO,LOCHBUIE TOWN (PT.),5717
4593,Colorado,CO,LONGMONT CITY (PT.),51
4594,Colorado,CO,MEAD TOWN,4553
4595,Colorado,CO,MILLIKEN TOWN,6678
4596,Colorado,CO,NORTHGLENN CITY (PT.),21
4597,Colorado,CO,NUNN TOWN,451
4598,Colorado,CO,PIERCE TOWN,1060
4599,Colorado,CO,PLATTEVILLE TOWN,2722
4600,Colorado,CO,RAYMER (NEW RAYMER) TOWN,105
4601,Colorado,CO,SEVERANCE TOWN,4021
4602,Colorado,CO,THORNTON CITY (PT.),0
4603,Colorado,CO,WINDSOR TOWN (PT.),17275
4604,Colorado,CO,BALANCE OF WELD COUNTY,45648
4605,Colorado,CO,YUMA COUNTY,10103
4606,Colorado,CO,ECKLEY TOWN,251
4607,Colorado,CO,WRAY CITY,2367
4608,Colorado,CO,YUMA CITY,3582
4609,Colorado,CO,BALANCE OF YUMA COUNTY,3903
4610,Connecticut,CT,ANSONIA CITY,18732
4611,Connecticut,CT,BANTAM BOROUGH,732
4612,Connecticut,CT,BRIDGEPORT CITY,145936
4613,Connecticut,CT,BRISTOL CITY,60147
4614,Connecticut,CT,DANBURY CITY,84992
4615,Connecticut,CT,DANIELSON BOROUGH,3963
4616,Connecticut,CT,DERBY CITY,12631
4617,Connecticut,CT,FENWICK BOROUGH,44
4618,Connecticut,CT,GROTON CITY,9134
4619,Connecticut,CT,GROTON LONG POINT BOROUGH,508
4620,Connecticut,CT,HARTFORD CITY,123243
4621,Connecticut,CT,JEWETT CITY BOROUGH,3406
4622,Connecticut,CT,LITCHFIELD BOROUGH,1213
4623,Connecticut,CT,MERIDEN CITY,59622
4624,Connecticut,CT,MIDDLETOWN CITY,46544
4625,Connecticut,CT,MILFORD CITY (BALANCE),52536
4626,Connecticut,CT,NAUGATUCK BOROUGH,31392
4627,Connecticut,CT,NEW BRITAIN CITY,72558
4628,Connecticut,CT,NEW HAVEN CITY,129934
4629,Connecticut,CT,NEW LONDON CITY,26984
4630,Connecticut,CT,NEWTOWN BOROUGH,1953
4631,Connecticut,CT,NORWALK CITY,88438
4632,Connecticut,CT,NORWICH CITY,39556
4633,Connecticut,CT,SHELTON CITY,41334
4634,Connecticut,CT,STAMFORD CITY,129113
4635,Connecticut,CT,STONINGTON BOROUGH,900
4636,Connecticut,CT,TORRINGTON CITY,34646
4637,Connecticut,CT,WATERBURY CITY,108272
4638,Connecticut,CT,WEST HAVEN CITY,54516
4639,Connecticut,CT,WOODMONT BOROUGH,1518
4640,Connecticut,CT,MILFORD CITY,54054
4641,Connecticut,CT,MILFORD CITY (BALANCE),52536
4642,Connecticut,CT,WOODMONT BOROUGH,1518
4643,Connecticut,CT,FAIRFIELD COUNTY,944177
4644,Connecticut,CT,BRIDGEPORT CITY,145936
4645,Connecticut,CT,DANBURY CITY,84992
4646,Connecticut,CT,NEWTOWN BOROUGH,1953
4647,Connecticut,CT,NORWALK CITY,88438
4648,Connecticut,CT,SHELTON CITY,41334
4649,Connecticut,CT,STAMFORD CITY,129113
4650,Connecticut,CT,BALANCE OF FAIRFIELD COUNTY,452411
4651,Connecticut,CT,BETHEL TOWN,19627
4652,Connecticut,CT,BRIDGEPORT TOWN,145936
4653,Connecticut,CT,BRIDGEPORT CITY,145936
4654,Connecticut,CT,BROOKFIELD TOWN,17098
4655,Connecticut,CT,DANBURY TOWN,84992
4656,Connecticut,CT,DANBURY CITY,84992
4657,Connecticut,CT,DARIEN TOWN,21744
4658,Connecticut,CT,EASTON TOWN,7561
4659,Connecticut,CT,FAIRFIELD TOWN,61160
4660,Connecticut,CT,GREENWICH TOWN,62359
4661,Connecticut,CT,MONROE TOWN,19658
4662,Connecticut,CT,NEW CANAAN TOWN,20280
4663,Connecticut,CT,NEW FAIRFIELD TOWN,14005
4664,Connecticut,CT,NEWTOWN TOWN,27865
4665,Connecticut,CT,NEWTOWN BOROUGH,1953
4666,Connecticut,CT,BALANCE OF NEWTOWN TOWN,25912
4667,Connecticut,CT,NORWALK TOWN,88438
4668,Connecticut,CT,NORWALK CITY,88438
4669,Connecticut,CT,REDDING TOWN,9216
4670,Connecticut,CT,RIDGEFIELD TOWN,25063
4671,Connecticut,CT,SHELTON TOWN,41334
4672,Connecticut,CT,SHELTON CITY,41334
4673,Connecticut,CT,SHERMAN TOWN,3641
4674,Connecticut,CT,STAMFORD TOWN,129113
4675,Connecticut,CT,STAMFORD CITY,129113
4676,Connecticut,CT,STRATFORD TOWN,52148
4677,Connecticut,CT,TRUMBULL TOWN,36237
4678,Connecticut,CT,WESTON TOWN,10302
4679,Connecticut,CT,WESTPORT TOWN,27840
4680,Connecticut,CT,WILTON TOWN,18560
4681,Connecticut,CT,HARTFORD COUNTY,892389
4682,Connecticut,CT,BRISTOL CITY,60147
4683,Connecticut,CT,HARTFORD CITY,123243
4684,Connecticut,CT,NEW BRITAIN CITY,72558
4685,Connecticut,CT,BALANCE OF HARTFORD COUNTY,636441
4686,Connecticut,CT,AVON TOWN,18364
4687,Connecticut,CT,BERLIN TOWN,20499
4688,Connecticut,CT,BLOOMFIELD TOWN,20642
4689,Connecticut,CT,BRISTOL TOWN,60147
4690,Connecticut,CT,BRISTOL CITY,60147
4691,Connecticut,CT,BURLINGTON TOWN,9614
4692,Connecticut,CT,CANTON TOWN,10287
4693,Connecticut,CT,EAST GRANBY TOWN,5170
4694,Connecticut,CT,EAST HARTFORD TOWN,50237
4695,Connecticut,CT,EAST WINDSOR TOWN,11355
4696,Connecticut,CT,ENFIELD TOWN,44368
4697,Connecticut,CT,FARMINGTON TOWN,25524
4698,Connecticut,CT,GLASTONBURY TOWN,34584
4699,Connecticut,CT,GRANBY TOWN,11247
4700,Connecticut,CT,HARTFORD TOWN,123243
4701,Connecticut,CT,HARTFORD CITY,123243
4702,Connecticut,CT,HARTLAND TOWN,2117
4703,Connecticut,CT,MANCHESTER TOWN,57873
4704,Connecticut,CT,MARLBOROUGH TOWN,6402
4705,Connecticut,CT,NEW BRITAIN TOWN,72558
4706,Connecticut,CT,NEW BRITAIN CITY,72558
4707,Connecticut,CT,NEWINGTON TOWN,30423
4708,Connecticut,CT,PLAINVILLE TOWN,17677
4709,Connecticut,CT,ROCKY HILL TOWN,20119
4710,Connecticut,CT,SIMSBURY TOWN,24407
4711,Connecticut,CT,SOUTHINGTON TOWN,43685
4712,Connecticut,CT,SOUTH WINDSOR TOWN,25737
4713,Connecticut,CT,SUFFIELD TOWN,15625
4714,Connecticut,CT,WEST HARTFORD TOWN,62903
4715,Connecticut,CT,WETHERSFIELD TOWN,26195
4716,Connecticut,CT,WINDSOR TOWN,28875
4717,Connecticut,CT,WINDSOR LOCKS TOWN,12512
4718,Connecticut,CT,LITCHFIELD COUNTY,182571
4719,Connecticut,CT,BANTAM BOROUGH,732
4720,Connecticut,CT,LITCHFIELD BOROUGH,1213
4721,Connecticut,CT,TORRINGTON CITY,34646
4722,Connecticut,CT,BALANCE OF LITCHFIELD COUNTY,145980
4723,Connecticut,CT,BARKHAMSTED TOWN,3664
4724,Connecticut,CT,BETHLEHEM TOWN,3447
4725,Connecticut,CT,BRIDGEWATER TOWN,1648
4726,Connecticut,CT,CANAAN TOWN,1177
4727,Connecticut,CT,COLEBROOK TOWN,1430
4728,Connecticut,CT,CORNWALL TOWN,1380
4729,Connecticut,CT,GOSHEN TOWN,2891
4730,Connecticut,CT,HARWINTON TOWN,5466
4731,Connecticut,CT,KENT TOWN,2819
4732,Connecticut,CT,LITCHFIELD TOWN,8175
4733,Connecticut,CT,BANTAM BOROUGH,732
4734,Connecticut,CT,LITCHFIELD BOROUGH,1213
4735,Connecticut,CT,BALANCE OF LITCHFIELD TOWN,6230
4736,Connecticut,CT,MORRIS TOWN,2279
4737,Connecticut,CT,NEW HARTFORD TOWN,6733
4738,Connecticut,CT,NEW MILFORD TOWN,27151
4739,Connecticut,CT,NORFOLK TOWN,1632
4740,Connecticut,CT,NORTH CANAAN TOWN,3186
4741,Connecticut,CT,PLYMOUTH TOWN,11749
4742,Connecticut,CT,ROXBURY TOWN,2176
4743,Connecticut,CT,SALISBURY TOWN,3618
4744,Connecticut,CT,SHARON TOWN,2714
4745,Connecticut,CT,THOMASTON TOWN,7595
4746,Connecticut,CT,TORRINGTON TOWN,34646
4747,Connecticut,CT,TORRINGTON CITY,34646
4748,Connecticut,CT,WARREN TOWN,1408
4749,Connecticut,CT,WASHINGTON TOWN,3452
4750,Connecticut,CT,WATERTOWN TOWN,21790
4751,Connecticut,CT,WINCHESTER TOWN,10754
4752,Connecticut,CT,WOODBURY TOWN,9591
4753,Connecticut,CT,MIDDLESEX COUNTY,163329
4754,Connecticut,CT,FENWICK BOROUGH,44
4755,Connecticut,CT,MIDDLETOWN CITY,46544
4756,Connecticut,CT,BALANCE OF MIDDLESEX COUNTY,116741
4757,Connecticut,CT,CHESTER TOWN,4255
4758,Connecticut,CT,CLINTON TOWN,12961
4759,Connecticut,CT,CROMWELL TOWN,13960
4760,Connecticut,CT,DEEP RIVER TOWN,4482
4761,Connecticut,CT,DURHAM TOWN,7255
4762,Connecticut,CT,EAST HADDAM TOWN,9023
4763,Connecticut,CT,EAST HAMPTON TOWN,12869
4764,Connecticut,CT,ESSEX TOWN,6539
4765,Connecticut,CT,HADDAM TOWN,8260
4766,Connecticut,CT,KILLINGWORTH TOWN,6419
4767,Connecticut,CT,MIDDLEFIELD TOWN,4387
4768,Connecticut,CT,MIDDLETOWN TOWN,46544
4769,Connecticut,CT,MIDDLETOWN CITY,46544
4770,Connecticut,CT,OLD SAYBROOK TOWN,10093
4771,Connecticut,CT,FENWICK BOROUGH,44
4772,Connecticut,CT,BALANCE OF OLD SAYBROOK TOWN,10049
4773,Connecticut,CT,PORTLAND TOWN,9349
4774,Connecticut,CT,WESTBROOK TOWN,6933
4775,Connecticut,CT,NEW HAVEN COUNTY,856875
4776,Connecticut,CT,ANSONIA CITY,18732
4777,Connecticut,CT,DERBY CITY,12631
4778,Connecticut,CT,MERIDEN CITY,59622
4779,Connecticut,CT,MILFORD CITY (BALANCE),52536
4780,Connecticut,CT,NAUGATUCK BOROUGH,31392
4781,Connecticut,CT,NEW HAVEN CITY,129934
4782,Connecticut,CT,WATERBURY CITY,108272
4783,Connecticut,CT,WEST HAVEN CITY,54516
4784,Connecticut,CT,WOODMONT BOROUGH,1518
4785,Connecticut,CT,BALANCE OF NEW HAVEN COUNTY,387722
4786,Connecticut,CT,ANSONIA TOWN,18732
4787,Connecticut,CT,ANSONIA CITY,18732
4788,Connecticut,CT,BEACON FALLS TOWN,6095
4789,Connecticut,CT,BETHANY TOWN,5488
4790,Connecticut,CT,BRANFORD TOWN,28028
4791,Connecticut,CT,CHESHIRE TOWN,29282
4792,Connecticut,CT,DERBY TOWN,12631
4793,Connecticut,CT,DERBY CITY,12631
4794,Connecticut,CT,EAST HAVEN TOWN,28807
4795,Connecticut,CT,GUILFORD TOWN,22277
4796,Connecticut,CT,HAMDEN TOWN,61125
4797,Connecticut,CT,MADISON TOWN,18151
4798,Connecticut,CT,MERIDEN TOWN,59622
4799,Connecticut,CT,MERIDEN CITY,59622
4800,Connecticut,CT,MIDDLEBURY TOWN,7641
4801,Connecticut,CT,MILFORD TOWN,54054
4802,Connecticut,CT,MILFORD CITY (BALANCE),52536
4803,Connecticut,CT,WOODMONT BOROUGH,1518
4804,Connecticut,CT,NAUGATUCK TOWN,31392
4805,Connecticut,CT,NAUGATUCK BOROUGH,31392
4806,Connecticut,CT,NEW HAVEN TOWN,129934
4807,Connecticut,CT,NEW HAVEN CITY,129934
4808,Connecticut,CT,NORTH BRANFORD TOWN,14198
4809,Connecticut,CT,NORTH HAVEN TOWN,23709
4810,Connecticut,CT,ORANGE TOWN,13912
4811,Connecticut,CT,OXFORD TOWN,12984
4812,Connecticut,CT,PROSPECT TOWN,9755
4813,Connecticut,CT,SEYMOUR TOWN,16553
4814,Connecticut,CT,SOUTHBURY TOWN,19572
4815,Connecticut,CT,WALLINGFORD TOWN,44660
4816,Connecticut,CT,WATERBURY TOWN,108272
4817,Connecticut,CT,WATERBURY CITY,108272
4818,Connecticut,CT,WEST HAVEN TOWN,54516
4819,Connecticut,CT,WEST HAVEN CITY,54516
4820,Connecticut,CT,WOLCOTT TOWN,16643
4821,Connecticut,CT,WOODBRIDGE TOWN,8842
4822,Connecticut,CT,NEW LONDON COUNTY,269801
4823,Connecticut,CT,GROTON CITY,9134
4824,Connecticut,CT,GROTON LONG POINT BOROUGH,508
4825,Connecticut,CT,JEWETT CITY BOROUGH,3406
4826,Connecticut,CT,NEW LONDON CITY,26984
4827,Connecticut,CT,NORWICH CITY,39556
4828,Connecticut,CT,STONINGTON BOROUGH,900
4829,Connecticut,CT,BALANCE OF NEW LONDON COUNTY,189313
4830,Connecticut,CT,BOZRAH TOWN,2578
4831,Connecticut,CT,COLCHESTER TOWN,16061
4832,Connecticut,CT,EAST LYME TOWN,18886
4833,Connecticut,CT,FRANKLIN TOWN,1955
4834,Connecticut,CT,GRISWOLD TOWN,11719
4835,Connecticut,CT,JEWETT CITY BOROUGH,3406
4836,Connecticut,CT,BALANCE OF GRISWOLD TOWN,8313
4837,Connecticut,CT,GROTON TOWN,39261
4838,Connecticut,CT,GROTON CITY,9134
4839,Connecticut,CT,GROTON LONG POINT BOROUGH,508
4840,Connecticut,CT,BALANCE OF GROTON TOWN,29619
4841,Connecticut,CT,LEBANON TOWN,7197
4842,Connecticut,CT,LEDYARD TOWN,14911
4843,Connecticut,CT,LISBON TOWN,4281
4844,Connecticut,CT,LYME TOWN,2355
4845,Connecticut,CT,MONTVILLE TOWN,19231
4846,Connecticut,CT,NEW LONDON TOWN,26984
4847,Connecticut,CT,NEW LONDON CITY,26984
4848,Connecticut,CT,NORTH STONINGTON TOWN,5271
4849,Connecticut,CT,NORWICH TOWN,39556
4850,Connecticut,CT,NORWICH CITY,39556
4851,Connecticut,CT,OLD LYME TOWN,7469
4852,Connecticut,CT,PRESTON TOWN,4685
4853,Connecticut,CT,SALEM TOWN,4167
4854,Connecticut,CT,SPRAGUE TOWN,2921
4855,Connecticut,CT,STONINGTON TOWN,18647
4856,Connecticut,CT,STONINGTON BOROUGH,900
4857,Connecticut,CT,BALANCE OF STONINGTON TOWN,17747
4858,Connecticut,CT,VOLUNTOWN TOWN,2565
4859,Connecticut,CT,WATERFORD TOWN,19101
4860,Connecticut,CT,TOLLAND COUNTY,151118
4861,Connecticut,CT,ANDOVER TOWN,3252
4862,Connecticut,CT,BOLTON TOWN,4930
4863,Connecticut,CT,COLUMBIA TOWN,5433
4864,Connecticut,CT,COVENTRY TOWN,12433
4865,Connecticut,CT,ELLINGTON TOWN,16071
4866,Connecticut,CT,HEBRON TOWN,9529
4867,Connecticut,CT,MANSFIELD TOWN,25969
4868,Connecticut,CT,SOMERS TOWN,11092
4869,Connecticut,CT,STAFFORD TOWN,11758
4870,Connecticut,CT,TOLLAND TOWN,14791
4871,Connecticut,CT,UNION TOWN,840
4872,Connecticut,CT,VERNON TOWN,29148
4873,Connecticut,CT,WILLINGTON TOWN,5872
4874,Connecticut,CT,WINDHAM COUNTY,116192
4875,Connecticut,CT,DANIELSON BOROUGH,3963
4876,Connecticut,CT,BALANCE OF WINDHAM COUNTY,112229
4877,Connecticut,CT,ASHFORD TOWN,4236
4878,Connecticut,CT,BROOKLYN TOWN,8205
4879,Connecticut,CT,CANTERBURY TOWN,5065
4880,Connecticut,CT,CHAPLIN TOWN,2246
4881,Connecticut,CT,EASTFORD TOWN,1750
4882,Connecticut,CT,HAMPTON TOWN,1837
4883,Connecticut,CT,KILLINGLY TOWN,17069
4884,Connecticut,CT,DANIELSON BOROUGH,3963
4885,Connecticut,CT,BALANCE OF KILLINGLY TOWN,13106
4886,Connecticut,CT,PLAINFIELD TOWN,15067
4887,Connecticut,CT,POMFRET TOWN,4149
4888,Connecticut,CT,PUTNAM TOWN,9333
4889,Connecticut,CT,SCOTLAND TOWN,1678
4890,Connecticut,CT,STERLING TOWN,3741
4891,Connecticut,CT,THOMPSON TOWN,9266
4892,Connecticut,CT,WINDHAM TOWN,24727
4893,Connecticut,CT,WOODSTOCK TOWN,7823
4894,Delaware,DE,ARDEN VILLAGE,450
4895,Delaware,DE,ARDENCROFT VILLAGE,237
4896,Delaware,DE,ARDENTOWN VILLAGE,273
4897,Delaware,DE,BELLEFONTE TOWN,1178
4898,Delaware,DE,BETHANY BEACH TOWN,1194
4899,Delaware,DE,BETHEL TOWN,192
4900,Delaware,DE,BLADES TOWN,1380
4901,Delaware,DE,BOWERS TOWN,360
4902,Delaware,DE,BRIDGEVILLE TOWN,2302
4903,Delaware,DE,CAMDEN TOWN,3489
4904,Delaware,DE,CHESWOLD TOWN,1425
4905,Delaware,DE,CLAYTON TOWN,3157
4906,Delaware,DE,DAGSBORO TOWN,878
4907,Delaware,DE,DELAWARE CITY CITY,1742
4908,Delaware,DE,DELMAR TOWN,1765
4909,Delaware,DE,DEWEY BEACH TOWN,379
4910,Delaware,DE,DOVER CITY,37786
4911,Delaware,DE,ELLENDALE TOWN,423
4912,Delaware,DE,ELSMERE TOWN,6106
4913,Delaware,DE,FARMINGTON TOWN,118
4914,Delaware,DE,FELTON TOWN,1408
4915,Delaware,DE,FENWICK ISLAND TOWN,426
4916,Delaware,DE,FRANKFORD TOWN,951
4917,Delaware,DE,FREDERICA TOWN,828
4918,Delaware,DE,GEORGETOWN TOWN,7206
4919,Delaware,DE,GREENWOOD TOWN,1085
4920,Delaware,DE,HARRINGTON CITY,3679
4921,Delaware,DE,HARTLY TOWN,71
4922,Delaware,DE,HENLOPEN ACRES TOWN,138
4923,Delaware,DE,HOUSTON TOWN,393
4924,Delaware,DE,KENTON TOWN,265
4925,Delaware,DE,LAUREL TOWN,4160
4926,Delaware,DE,LEIPSIC TOWN,196
4927,Delaware,DE,LEWES CITY,3074
4928,Delaware,DE,LITTLE CREEK TOWN,234
4929,Delaware,DE,MAGNOLIA TOWN,235
4930,Delaware,DE,MIDDLETOWN TOWN,20876
4931,Delaware,DE,MILFORD CITY,10979
4932,Delaware,DE,MILLSBORO TOWN,4293
4933,Delaware,DE,MILLVILLE TOWN,602
4934,Delaware,DE,MILTON TOWN,2879
4935,Delaware,DE,NEWARK CITY,33398
4936,Delaware,DE,NEW CASTLE CITY,5357
4937,Delaware,DE,NEWPORT TOWN,1050
4938,Delaware,DE,OCEAN VIEW TOWN,2076
4939,Delaware,DE,ODESSA TOWN,372
