County,County Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error,% of Total Deaths
"Lee County, IL",17103,366,34251,1068.58,959.1,1178.06,55.86,760.91,680.81,841.02,40.87,0.01%
"Livingston County, IL",17105,430,36526,1177.24,1065.97,1288.52,56.77,831.41,749.57,913.25,41.76,0.02%
"Logan County, IL",17107,363,29527,1229.38,1102.91,1355.85,64.53,885.04,791.32,978.76,47.82,0.01%
"McDonough County, IL",17109,320,30996,1032.39,919.27,1145.51,57.71,821.07,727.17,914.96,47.91,0.01%
"McHenry County, IL",17111,2066,307004,672.96,643.94,701.97,14.81,676.39,646.46,706.32,15.27,0.08%
"McLean County, IL",17113,1134,172418,657.7,619.42,695.98,19.53,659.95,620.76,699.13,19.99,0.04%
"Macon County, IL",17115,1215,106550,1140.31,1076.19,1204.43,32.71,799.92,753.17,846.67,23.85,0.04%
"Macoupin County, IL",17117,604,45908,1315.67,1210.75,1420.6,53.53,903.88,828.69,979.08,38.36,0.02%
"Madison County, IL",17119,2772,265759,1043.05,1004.22,1081.88,19.81,825.52,794.14,856.9,16.01,0.10%
"Marion County, IL",17121,538,38140,1410.59,1291.4,1529.79,60.81,989.9,902.53,1077.27,44.58,0.02%
"Marshall County, IL",17123,156,11939,1306.64,1101.6,1511.69,104.62,776.63,648.81,904.44,65.21,0.01%
"Mason County, IL",17125,184,13507,1362.26,1165.42,1559.09,100.43,851.55,725.01,978.08,64.56,0.01%
"Massac County, IL",17127,215,14658,1466.78,1270.71,1662.84,100.03,970.19,831.15,1109.23,70.94,0.01%
"Menard County, IL",17129,129,12516,1030.68,852.82,1208.54,90.75,719.22,591.15,847.28,65.34,0.00%
"Mercer County, IL",17131,189,15730,1201.53,1030.23,1372.83,87.4,730.82,624.27,837.37,54.36,0.01%
"Monroe County, IL",17133,257,34068,754.37,662.14,846.6,47.06,552.1,482.57,621.63,35.48,0.01%
"Montgomery County, IL",17135,368,28952,1271.07,1141.2,1400.94,66.26,830.48,741.63,919.32,45.33,0.01%
"Morgan County, IL",17137,388,34277,1131.95,1019.32,1244.59,57.47,764.46,685.55,843.38,40.26,0.01%
"Moultrie County, IL",17139,194,14827,1308.42,1124.3,1492.54,93.94,840.12,716.09,964.16,63.28,0.01%
"Ogle County, IL",17141,501,51273,977.12,891.56,1062.69,43.65,728.23,662.67,793.79,33.45,0.02%
"Peoria County, IL",17143,1842,185006,995.64,950.17,1041.11,23.2,820.81,782.44,859.17,19.58,0.07%
"Perry County, IL",17145,233,21357,1090.98,950.89,1231.06,71.47,814.87,707.98,921.75,54.53,0.01%
"Piatt County, IL",17147,176,16560,1062.8,905.78,1219.82,80.11,772.1,654.72,889.49,59.89,0.01%
"Pike County, IL",17149,209,15950,1310.34,1132.69,1488,90.64,837.86,719.14,956.58,60.57,0.01%
"Pope County, IL",17151,51,4157,1226.85,913.47,1613.08,171.79,769.11,558.84,1032.5,115.6,0.00%
"Pulaski County, IL",17153,72,5619,1281.37,1002.59,1613.66,151.01,796.61,616.1,1013.49,97.91,0.00%
"Putnam County, IL",17155,61,5611,1087.15,831.58,1396.49,139.2,747.45,559.89,977.68,102.39,0.00%
"Randolph County, IL",17157,387,32621,1186.35,1068.15,1304.55,60.31,849.89,763.21,936.57,44.23,0.01%
"Richland County, IL",17159,225,15930,1412.43,1227.87,1596.99,94.16,863.68,745.51,981.84,60.29,0.01%
"Rock Island County, IL",17161,1618,144784,1117.53,1063.07,1171.98,27.78,792.99,753.17,832.81,20.32,0.06%
"St. Clair County, IL",17163,2486,262759,946.11,908.92,983.31,18.98,813.88,781.29,846.47,16.63,0.09%
"Saline County, IL",17165,369,24307,1518.08,1363.19,1672.98,79.03,1058.75,947.33,1170.16,56.84,0.01%
"Sangamon County, IL",17167,1898,197499,961.02,917.78,1004.25,22.06,755.08,720.22,789.94,17.79,0.07%
"Schuyler County, IL",17169,99,6923,1430.02,1162.25,1740.99,143.72,927.94,747.12,1139.31,97.18,0.00%
"Scott County, IL",17171,63,5053,1246.78,958.07,1595.17,157.08,868.91,659.79,1123.26,114.01,0.00%
"Shelby County, IL",17173,228,21717,1049.87,913.59,1186.15,69.53,648.22,560.21,736.23,44.9,0.01%
"Stark County, IL",17175,67,5776,1159.97,898.97,1473.12,141.71,677.51,510.39,881.87,91.22,0.00%
"Stephenson County, IL",17177,564,45624,1236.19,1134.17,1338.22,52.05,741.1,675.71,806.49,33.36,0.02%
"Tazewell County, IL",17179,1383,134385,1029.13,974.89,1083.37,27.67,744.56,704.38,784.75,20.5,0.05%
"Union County, IL",17181,213,17212,1237.51,1071.32,1403.7,84.79,831.53,715.36,947.69,59.27,0.01%
"Vermilion County, IL",17183,955,78111,1222.62,1145.08,1300.16,39.56,929.39,868.53,990.26,31.05,0.03%
"Wabash County, IL",17185,152,11492,1322.66,1112.39,1532.93,107.28,820.83,686.25,955.41,68.66,0.01%
"Warren County, IL",17187,177,17378,1018.53,868.48,1168.58,76.56,703.16,596.9,809.41,54.21,0.01%
"Washington County, IL",17189,174,14154,1229.33,1046.67,1412,93.2,806.55,680.76,932.34,64.18,0.01%
"Wayne County, IL",17191,196,16396,1195.41,1028.06,1362.77,85.39,795.34,681.73,908.94,57.96,0.01%
"White County, IL",17193,208,14292,1455.36,1257.57,1653.15,100.91,891.37,761.75,1020.99,66.13,0.01%
"Whiteside County, IL",17195,656,56536,1160.32,1071.53,1249.12,45.3,761.42,700.69,822.14,30.98,0.02%
"Will County, IL",17197,4501,689529,652.76,633.69,671.83,9.73,702.94,681.99,723.89,10.69,0.16%
"Williamson County, IL",17199,778,67560,1151.57,1070.65,1232.49,41.29,870.63,808.49,932.78,31.71,0.03%
"Winnebago County, IL",17201,2892,285873,1011.64,974.77,1048.51,18.81,813.61,783.23,843.99,15.5,0.11%
"Woodford County, IL",17203,377,39140,963.21,865.98,1060.44,49.61,677.9,606.35,749.44,36.5,0.01%
"Adams County, IN",18001,323,35232,916.78,816.8,1016.76,51.01,739.28,656.18,822.39,42.4,0.01%
"Allen County, IN",18003,3348,370404,903.88,873.26,934.5,15.62,833.59,804.77,862.41,14.7,0.12%
"Bartholomew County, IN",18005,748,81402,918.9,853.04,984.75,33.6,795.3,737.61,852.99,29.43,0.03%
"Benton County, IN",18007,77,8650,890.17,702.51,1112.57,101.44,698.11,548.17,876.42,81.33,0.00%
"Blackford County, IN",18009,154,12149,1267.59,1067.39,1467.8,102.15,898.39,751.47,1045.32,74.96,0.01%
"Boone County, IN",18011,546,64653,844.51,773.67,915.35,36.14,823.77,753.79,893.74,35.7,0.02%
"Brown County, IN",18013,161,14912,1079.67,912.89,1246.44,85.09,763.28,636.32,890.24,64.78,0.01%
"Carroll County, IN",18015,196,19970,981.47,844.07,1118.88,70.11,733.27,628.13,838.42,53.65,0.01%
"Cass County, IN",18017,411,37946,1083.12,978.4,1187.83,53.43,830.18,747.97,912.38,41.94,0.01%
"Clark County, IN",18019,1232,116031,1061.79,1002.49,1121.08,30.25,959.04,904.48,1013.6,27.84,0.04%
"Clay County, IN",18021,312,26309,1185.91,1054.31,1317.5,67.14,922.13,817.58,1026.69,53.34,0.01%
"Clinton County, IN",18023,363,32457,1118.4,1003.35,1233.46,58.7,834.16,745.64,922.69,45.17,0.01%
"Crawford County, IN",18025,118,10539,1119.65,917.63,1321.67,103.07,928.64,754.95,1102.33,88.62,0.00%
"Daviess County, IN",18027,342,32969,1037.34,927.4,1147.28,56.09,912.86,814.12,1011.61,50.38,0.01%
"Dearborn County, IN",18029,504,49331,1021.67,932.47,1110.87,45.51,870.19,792.41,947.98,39.69,0.02%
"Decatur County, IN",18031,290,26598,1090.31,964.82,1215.8,64.03,882.79,779.61,985.97,52.64,0.01%
"De Kalb County, IN",18033,429,42746,1003.6,908.63,1098.57,48.45,837.79,756.92,918.66,41.26,0.02%
"Delaware County, IN",18035,1327,115603,1147.89,1086.13,1209.66,31.51,943.82,891.51,996.13,26.69,0.05%
"Dubois County, IN",18037,410,42552,963.53,870.26,1056.79,47.59,731.52,659.16,803.89,36.92,0.01%
"Elkhart County, IN",18039,1789,203781,877.9,837.22,918.58,20.76,796.38,758.95,833.82,19.1,0.07%
"Fayette County, IN",18041,314,23331,1345.85,1196.99,1494.71,75.95,1005,889.48,1120.51,58.93,0.01%
"Floyd County, IN",18043,789,76990,1024.81,953.3,1096.32,36.48,871.25,809.11,933.39,31.7,0.03%
"Fountain County, IN",18045,214,16486,1298.07,1124.15,1471.99,88.73,868.99,749.38,988.6,61.02,0.01%
"Franklin County, IN",18047,208,22715,915.69,791.25,1040.14,63.49,734.16,632.32,836,51.96,0.01%
"Fulton County, IN",18049,232,20139,1151.99,1003.75,1300.23,75.63,862.72,749.45,975.99,57.79,0.01%
"Gibson County, IN",18051,380,33703,1127.5,1014.13,1240.86,57.84,862.64,774.3,950.97,45.07,0.01%
"Grant County, IN",18053,811,66937,1211.59,1128.2,1294.97,42.54,905.21,840.83,969.59,32.85,0.03%
"Greene County, IN",18055,405,32211,1257.33,1134.88,1379.79,62.48,919.29,827.86,1010.72,46.65,0.01%
"Hamilton County, IN",18057,1689,316373,533.86,508.4,559.32,12.99,604.58,575.17,634,15.01,0.06%
"Hancock County, IN",18059,680,73717,922.45,853.11,991.78,35.37,808.72,747.03,870.41,31.47,0.02%
"Harrison County, IN",18061,418,39826,1049.57,948.95,1150.18,51.34,877.71,791.45,963.97,44.01,0.02%
"Hendricks County, IN",18063,1127,160610,701.7,660.73,742.67,20.9,709.52,667.55,751.49,21.41,0.04%
"Henry County, IN",18065,579,48521,1193.3,1096.1,1290.5,49.59,879.88,806.72,953.05,37.33,0.02%
"Howard County, IN",18067,1070,82568,1295.9,1218.25,1373.55,39.62,952.37,893.68,1011.06,29.94,0.04%
"Huntington County, IN",18069,457,36400,1255.49,1140.38,1370.6,58.73,959.26,869.18,1049.33,45.96,0.02%
"Jackson County, IN",18071,453,44013,1029.24,934.46,1124.02,48.36,866.07,785.3,946.84,41.21,0.02%
"Jasper County, IN",18073,321,33433,960.13,855.09,1065.16,53.59,815.59,724.46,906.72,46.5,0.01%
"Jay County, IN",18075,231,21046,1097.6,956.05,1239.14,72.22,894.05,776.4,1011.7,60.02,0.01%
"Jefferson County, IN",18077,354,32418,1091.99,978.23,1205.74,58.04,879.89,786.28,973.5,47.76,0.01%
"Jennings County, IN",18079,315,27758,1134.81,1009.49,1260.13,63.94,1038.79,920.74,1156.84,60.23,0.01%
"Johnson County, IN",18081,1305,151982,858.65,812.07,905.24,23.77,789.32,746.1,832.55,22.05,0.05%
"Knox County, IN",18083,423,37744,1120.71,1013.91,1227.51,54.49,889.25,801.93,976.57,44.55,0.02%
"Kosciusko County, IN",18085,656,79092,829.41,765.94,892.88,32.38,712.59,657.23,767.94,28.24,0.02%
"Lagrange County, IN",18087,244,39110,623.88,545.6,702.16,39.94,631.21,551.1,711.32,40.87,0.01%
"Lake County, IN",18089,4837,485846,995.58,967.53,1023.64,14.31,835.82,811.81,859.84,12.25,0.18%
"La Porte County, IN",18091,1266,110015,1150.75,1087.36,1214.14,32.34,942.05,888.95,995.15,27.09,0.05%
"Lawrence County, IN",18093,551,45518,1210.51,1109.43,1311.59,51.57,877.1,802.12,952.09,38.26,0.02%
"Madison County, IN",18095,1498,129296,1158.58,1099.91,1217.25,29.93,904.52,857.73,951.32,23.87,0.05%
"Marion County, IN",18097,8263,941229,877.89,858.97,896.82,9.66,903.64,883.76,923.53,10.14,0.30%
"Marshall County, IN",18099,483,46556,1037.46,944.94,1129.98,47.21,779.13,707.7,850.56,36.44,0.02%
"Martin County, IN",18101,112,10171,1101.17,897.23,1305.11,104.05,849.23,688.93,1009.53,81.79,0.00%
"Miami County, IN",18103,385,35883,1072.93,965.76,1180.11,54.68,866.41,778.49,954.33,44.86,0.01%
"Monroe County, IN",18105,1009,145496,693.49,650.7,736.28,21.83,735.21,688.79,781.63,23.69,0.04%
"Montgomery County, IN",18107,404,38074,1061.09,957.62,1164.56,52.79,802.78,722.86,882.69,40.77,0.01%
"Morgan County, IN",18109,649,69698,931.16,859.52,1002.8,36.55,816.9,752.53,881.27,32.84,0.02%
"Newton County, IN",18111,163,13924,1170.64,990.92,1350.36,91.69,885.02,744.71,1025.34,71.59,0.01%
"Noble County, IN",18113,455,47638,955.12,867.36,1042.88,44.78,829.71,751.43,907.99,39.94,0.02%
"Ohio County, IN",18115,65,5932,1095.75,845.68,1396.62,135.91,805.12,612.9,1038.55,105.21,0.00%
"Orange County, IN",18117,246,19335,1272.3,1113.31,1431.3,81.12,976.02,851,1101.03,63.78,0.01%
"Owen County, IN",18119,249,20840,1194.82,1046.41,1343.23,75.72,991.92,863.08,1120.76,65.73,0.01%
"Parke County, IN",18121,171,16800,1017.86,865.3,1170.42,77.84,812.68,687.06,938.29,64.09,0.01%
"Perry County, IN",18123,218,18966,1149.43,996.84,1302.01,77.85,864.62,746.02,983.22,60.51,0.01%
"Pike County, IN",18125,166,12431,1335.37,1132.23,1538.52,103.64,958.93,808.21,1109.65,76.9,0.01%
"Porter County, IN",18127,1395,167791,831.39,787.76,875.02,22.26,717.3,678.83,755.78,19.63,0.05%
"Posey County, IN",18129,230,25476,902.81,786.13,1019.49,59.53,710.09,615.32,804.86,48.35,0.01%
"Pulaski County, IN",18131,145,12660,1145.34,958.91,1331.77,95.12,841.61,700.02,983.21,72.24,0.01%
"Putnam County, IN",18133,365,37436,975,874.97,1075.02,51.03,807.31,723.13,891.5,42.95,0.01%
"Randolph County, IN",18135,277,25082,1104.38,974.32,1234.43,66.36,787.53,691.26,883.79,49.12,0.01%
"Ripley County, IN",18137,297,28846,1029.61,912.51,1146.7,59.74,773.1,682.87,863.34,46.04,0.01%
"Rush County, IN",18139,208,16649,1249.32,1079.54,1419.11,86.63,919,790.84,1047.15,65.38,0.01%
"St. Joseph County, IN",18141,2687,269141,998.36,960.61,1036.11,19.26,834.8,802.32,867.28,16.57,0.10%
"Scott County, IN",18143,330,23730,1390.64,1240.6,1540.69,76.55,1218.55,1083.67,1353.44,68.82,0.01%
"Shelby County, IN",18145,482,44324,1087.45,990.36,1184.53,49.53,868.9,789.62,948.17,40.45,0.02%
"Spencer County, IN",18147,227,20648,1099.38,956.36,1242.4,72.97,812.38,703.62,921.14,55.49,0.01%
"Starke County, IN",18149,258,23009,1121.3,984.47,1258.13,69.81,944.84,825.61,1064.08,60.84,0.01%
"Steuben County, IN",18151,335,34116,981.94,876.79,1087.1,53.65,777.48,691.67,863.28,43.78,0.01%
"Sullivan County, IN",18153,232,20802,1115.28,971.76,1258.79,73.22,908.79,789.54,1028.04,60.84,0.01%
"Switzerland County, IN",18155,90,10527,854.94,687.48,1050.87,90.12,716.98,572.7,886.56,77.99,0.00%
"Tippecanoe County, IN",18157,1215,188059,646.07,609.75,682.4,18.54,741.49,699.03,783.96,21.66,0.04%
"Tipton County, IN",18159,199,15182,1310.76,1128.64,1492.88,92.92,906.86,775.79,1037.94,66.88,0.01%
"Union County, IN",18161,79,7212,1095.4,867.24,1365.19,123.24,845.88,663.04,1063.57,98.75,0.00%
"Vanderburgh County, IN",18163,1936,181721,1065.37,1017.91,1112.83,24.21,851.43,812.55,890.31,19.84,0.07%
"Vermillion County, IN",18165,196,15645,1252.8,1077.4,1428.19,89.49,881.3,754.24,1008.35,64.83,0.01%
"Vigo County, IN",18167,1154,107931,1069.2,1007.51,1130.89,31.47,904.49,851.21,957.76,27.18,0.04%
"Wabash County, IN",18169,456,31762,1435.68,1303.9,1567.45,67.23,934.22,843.59,1024.84,46.24,0.02%
"Warren County, IN",18171,101,8166,1236.84,995.62,1478.05,123.07,845.78,675.05,1016.51,87.11,0.00%
"Warrick County, IN",18173,568,62498,908.83,834.09,983.57,38.13,726.86,665.68,788.04,31.21,0.02%
"Washington County, IN",18175,323,27670,1167.33,1040.02,1294.64,64.95,1001.87,890.26,1113.48,56.94,0.01%
"Wayne County, IN",18177,863,66568,1296.42,1209.92,1382.91,44.13,951.33,885.85,1016.82,33.41,0.03%
"Wells County, IN",18179,278,27949,994.67,877.74,1111.6,59.66,712.66,626.13,799.19,44.15,0.01%
"White County, IN",18181,297,23999,1237.55,1096.8,1378.3,71.81,829.21,731.02,927.41,50.1,0.01%
"Whitley County, IN",18183,305,33449,911.84,809.5,1014.17,52.21,721.4,638.17,804.64,42.47,0.01%
"Adair County, IA",19001,105,7092,1480.54,1197.35,1763.73,144.49,753.92,593.1,914.74,82.05,0.00%
"Adams County, IA",19003,47,3693,1272.68,935.11,1692.39,185.64,858.88,610.75,1174.11,137.49,0.00%
"Allamakee County, IA",19005,152,13884,1094.79,920.74,1268.83,88.8,652.65,545.34,759.96,54.75,0.01%
"Appanoose County, IA",19007,156,12462,1251.81,1055.37,1448.25,100.22,763.87,638.16,889.58,64.14,0.01%
"Audubon County, IA",19009,95,5678,1673.12,1353.66,2045.31,171.66,931.82,727.76,1175.36,110.95,0.00%
"Benton County, IA",19011,223,25699,867.74,753.85,981.63,58.11,624.67,540.06,709.28,43.17,0.01%
"Black Hawk County, IA",19013,1240,132904,933,881.07,984.94,26.5,768.65,724.55,812.75,22.5,0.05%
"Boone County, IA",19015,299,26532,1126.94,999.2,1254.68,65.17,803.21,709.51,896.92,47.81,0.01%
"Bremer County, IA",19017,218,24798,879.1,762.4,995.8,59.54,588.84,507.78,669.9,41.36,0.01%
"Buchanan County, IA",19019,196,20992,933.69,802.97,1064.41,66.69,713.64,611.57,815.72,52.08,0.01%
"Buena Vista County, IA",19021,192,20332,944.32,810.75,1077.9,68.15,664.4,565,763.81,50.72,0.01%
"Butler County, IA",19023,190,14791,1284.56,1101.91,1467.22,93.19,739.7,628.6,850.79,56.68,0.01%
"Calhoun County, IA",19025,144,9846,1462.52,1223.64,1701.4,121.88,823.38,678.51,968.24,73.91,0.01%
"Carroll County, IA",19027,230,20437,1125.41,979.96,1270.86,74.21,681.6,586.64,776.56,48.45,0.01%
"Cass County, IA",19029,191,13157,1451.7,1245.82,1657.58,105.04,827.34,704.12,950.57,62.87,0.01%
