,State,County,City,Hospital,Location,Patient Rating,Completed Surveys,Survey Response Rate (%),Mortality Rate (by County),Population (by County)
35,MN,SAINT LOUIS,DULUTH,ESSENTIA HEALTH DULUTH,"502 EAST SECOND STREET
DULUTH, MN
(46.793074, -92.094155)",3,260,32,NaN,NaN
36,TX,WALKER,HUNTSVILLE,HUNTSVILLE MEMORIAL HOSPITAL,"110 MEMORIAL HOSPITAL DRIVE
HUNTSVILLE, TX
(30.69849, -95.55799)",2,373,17,NaN,NaN
37,MN,RAMSEY,SAINT PAUL,ST JOSEPH'S HOSPITAL,"45 WEST 10TH STREET
SAINT PAUL, MN
(44.949062, -93.100127)",3,885,32,NaN,NaN
38,MN,SAINT LOUIS,HIBBING,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,"750 EAST 34TH ST
HIBBING, MN
(47.411053, -92.929534)",4,310,29,NaN,NaN
39,MN,BLUE EARTH,MANKATO,MAYO CLINIC HEALTH SYSTEM - MANKATO,"1025 MARSH STREET
MANKATO, MN
(44.165047, -93.983738)",3,391,29,NaN,NaN
40,MN,MARTIN,FAIRMONT,MAYO CLINIC HEALTH SYSTEM - FAIRMONT,"800 MEDICAL CENTER DRIVE, PO BOX 800
FAIRMONT, MN
(43.637688, -94.451728)",3,297,30,NaN,NaN
41,MN,STEELE,OWATONNA,OWATONNA HOSPITAL,"2250 26TH STREET NORTHWEST
OWATONNA, MN
(44.109798, -93.236301)",4,585,36,NaN,NaN
42,TX,ELLIS,WAXAHACHIE,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE,"2400 N INTERSTATE HIGHWAY 35E
WAXAHACHIE, TX
(32.428937, -96.860265)",4,1043,19,NaN,NaN
43,MN,RICE,FARIBAULT,DISTRICT ONE HOSPITAL,"200 STATE AVENUE
FARIBAULT, MN
(44.288715, -93.256022)",4,280,27,NaN,NaN
44,MN,HENNEPIN,MINNEAPOLIS,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","2450 RIVERSIDE AVENUE
MINNEAPOLIS, MN
(44.966335, -93.23812)",3,515,25,NaN,NaN
45,MN,KANDIYOHI,WILLMAR,CARRIS HEALTH LLC,"301 BECKER AVE SW
WILLMAR, MN
(45.120514, -95.046366)",4,490,30,NaN,NaN
46,MN,CROW WING,BRAINERD,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,"523 NORTH 3RD STREET
BRAINERD, MN
(46.362509, -94.205143)",4,768,34,NaN,NaN
47,MN,WRIGHT,BUFFALO,BUFFALO HOSPITAL,"303 CATLIN ST
BUFFALO, MN
(45.1932, -93.87053)",4,588,36,NaN,NaN
48,MN,BELTRAMI,BEMIDJI,SANFORD BEMIDJI MEDICAL CENTER,"1300 ANNE ST NW
BEMIDJI, MN
(47.505009, -94.898125)",3,465,25,NaN,NaN
49,MN,MCLEOD,HUTCHINSON,HUTCHINSON HEALTH,"1095 HIGHWAY 15 SOUTH
HUTCHINSON, MN
(44.875105, -94.375533)",4,373,37,NaN,NaN
50,MN,HENNEPIN,EDINA,FAIRVIEW SOUTHDALE HOSPITAL,"6401 FRANCE AVENUE SOUTH
EDINA, MN
(44.886279, -93.328857)",3,421,35,NaN,NaN
51,MN,SAINT LOUIS,VIRGINIA,ESSENTIA HEALTH VIRGINIA,"901 9TH STREET NORTH
VIRGINIA, MN
(47.530711, -92.548797)",3,250,30,NaN,NaN
52,MN,SHERBURNE,PRINCETON,FAIRVIEW NORTHLAND REGIONAL HOSPITAL,"911 NORTHLAND DR
PRINCETON, MN
(45.55888, -93.588931)",4,406,31,NaN,NaN
53,MN,RAMSEY,SAINT PAUL,REGIONS HOSPITAL,"640 JACKSON STREET
SAINT PAUL, MN
(44.955338, -93.096277)",3,615,26,NaN,NaN
54,MN,BECKER,DETROIT LAKES,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,"1027 WASHINGTON AVE
DETROIT LAKES, MN
(46.815307, -95.845453)",4,405,31,NaN,NaN
55,MN,WASHINGTON,STILLWATER,LAKEVIEW MEMORIAL HOSPITAL,"927 WEST CHURCHILL STREET
STILLWATER, MN
(45.048126, -92.818489)",5,678,49,NaN,NaN
56,MN,SCOTT,SHAKOPEE,ST FRANCIS REGIONAL MEDICAL CENTER,"1455 ST FRANCIS AVENUE
SHAKOPEE, MN
(44.770075, -93.503569)",4,383,31,NaN,NaN
57,MN,ANOKA,COON RAPIDS,MERCY HOSPITAL,"4050 COON RAPIDS BLVD
COON RAPIDS, MN
(45.183842, -93.368221)",3,621,32,NaN,NaN
58,MN,RAMSEY,MAPLEWOOD,HEALTHEAST ST JOHN'S HOSPITAL,"1575 BEAM AVENUE
MAPLEWOOD, MN
(45.028131, -93.033508)",3,934,26,NaN,NaN
59,MN,WASHINGTON,WOODBURY,HEALTHEAST WOODWINDS HOSPITAL,"1925 WOODWINDS DRIVE
WOODBURY, MN
(44.92351, -92.975353)",4,1114,35,NaN,NaN
60,MN,AITKIN,AITKIN,RIVERWOOD HEALTHCARE CENTER,"200 BUNKER HILL DRIVE
AITKIN, MN
(46.529202, -93.696808)",4,318,37,NaN,NaN
61,MN,DAKOTA,BURNSVILLE,FAIRVIEW RIDGES HOSPITAL,"201 EAST NICOLLET BOULEVARD
BURNSVILLE, MN
(44.749947, -93.274858)",4,548,32,NaN,NaN
62,AL,MADISON,HUNTSVILLE,CRESTWOOD MEDICAL CENTER,"ONE HOSPITAL DR SE
HUNTSVILLE, AL
",3,804,31,NaN,NaN
63,MN,HENNEPIN,MAPLE GROVE,MAPLE GROVE HOSPITAL,"9875 HOSPITAL DRIVE
MAPLE GROVE, MN
(45.133377, -93.479488)",4,948,29,NaN,NaN
64,MN,MURRAY,SLAYTON,MURRAY COUNTY MEMORIAL HOSPITAL,"2042 JUNIPER AVENUE
SLAYTON, MN
(43.992795, -95.759226)",5,113,55,NaN,NaN
65,MN,CHIPPEWA,MONTEVIDEO,CHIPPEWA COUNTY HOSPITAL,"824 NORTH 11TH STREET
MONTEVIDEO, MN
(44.953989, -95.713586)",3,154,36,NaN,NaN
66,MN,POLK,CROOKSTON,RIVERVIEW HOSPITAL,"323 SOUTH MINNESOTA
CROOKSTON, MN
(47.772083, -96.618106)",4,297,44,NaN,NaN
67,MN,NICOLLET,ST PETER,RIVER'S EDGE HOSPITAL & CLINIC,"1900 NORTH SUNRISE DRIVE
ST PETER, MN
(44.347846, -93.970875)",4,418,61,NaN,NaN
68,MN,STEARNS,MELROSE,CENTRACARE HEALTH SYSTEM - MELROSE HOSPITAL,"525 WEST MAIN STREET
MELROSE, MN
(45.674916, -94.823435)",4,143,36,NaN,NaN
69,TX,HENDERSON,ATHENS,EAST TEXAS MEDICAL CENTER ATHENS,"2000 SOUTH PALESTINE
ATHENS, TX
(32.171435, -95.844022)",3,640,18,NaN,NaN
70,MN,TODD,STAPLES,LAKEWOOD HEALTH SYSTEM,"49725 COUNTY ROAD 83
STAPLES, MN
(46.350869, -94.748393)",4,239,25,NaN,NaN
71,AK,BETHEL,BETHEL,YUKON KUSKOKWIM DELTA REG HOSPITAL,"PO BOX 287
BETHEL, AK
",2,265,27,NaN,NaN
72,MN,ITASCA,BIGFORK,BIGFORK VALLEY HOSPITAL,"258 PINE TREE DRIVE PO BOX 258
BIGFORK, MN
(47.746885, -93.646822)",5,102,55,NaN,NaN
73,TX,GRAYSON,DENISON,TEXOMA MEDICAL CENTER,"5016 S US HIGHWAY 75
DENISON, TX
(33.711133, -96.586956)",3,1047,20,NaN,NaN
74,MN,REDWOOD,REDWOOD FALLS,REDWOOD AREA HOSPITAL,"100 FALLWOOD ROAD
REDWOOD FALLS, MN
(44.53703, -95.107268)",5,127,42,NaN,NaN
75,VA,EMPORIA CITY,EMPORIA,SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER,"727 NORTH MAIN STREET
EMPORIA, VA
(36.701568, -77.535985)",3,180,25,NaN,NaN
76,MN,YELLOW MEDICINE,GRANITE FALLS,MUNICIPAL HOSPITAL AND GRANITE MANOR,"345 TENTH AVENUE
GRANITE FALLS, MN
(44.808737, -95.542467)",3,100,37,NaN,NaN
77,MN,CARLTON,MOOSE LAKE,MERCY HOSPITAL,"4572 COUNTY ROAD 61
MOOSE LAKE, MN
(46.442545, -92.775725)",4,121,29,NaN,NaN
78,MN,STEARNS,PAYNESVILLE,CENTRA CARE HEALTH PAYNESVILLE,"200 1ST STREET WEST
PAYNESVILLE, MN
(45.374893, -94.716253)",4,130,34,NaN,NaN
79,MN,ROSEAU,ROSEAU,LIFECARE MEDICAL CENTER,"715 DELMORE DRIVE
ROSEAU, MN
(48.839822, -95.759947)",4,170,37,NaN,NaN
80,MN,KANABEC,MORA,FIRSTLIGHT HEALTH SYSTEM,"301 SOUTH HIGHWAY 65
MORA, MN
(45.87339, -93.289955)",4,247,30,NaN,NaN
81,MN,STEVENS,MORRIS,STEVENS COMMUNITY MEDICAL CENTER,"400 EAST FIRST STREET, PO BOX 660
MORRIS, MN
(45.585436, -95.905063)",4,284,49,NaN,NaN
82,MN,LYON,MARSHALL,AVERA MARSHALL REGIONAL MEDICAL CTR,"300 SOUTH BRUCE STREET
MARSHALL, MN
(44.447634, -95.776185)",3,280,25,NaN,NaN
83,AZ,APACHE,FORT DEFIANCE,FORT DEFIANCE INDIAN HOSPITAL,"PO BOX 649
FORT DEFIANCE, AZ
",2,109,9,NaN,NaN
84,AZ,COCONINO,TUBA CITY,TUBA CITY REGIONAL HEALTH CARE CORPORATION,"PO BOX 600
TUBA CITY, AZ
",3,593,41,NaN,NaN
85,MN,MEEKER,LITCHFIELD,MEEKER MEMORIAL HOSPITAL,"612 SOUTH SIBLEY AVENUE
LITCHFIELD, MN
(45.120003, -94.528031)",4,187,36,NaN,NaN
86,MN,MCLEOD,GLENCOE,GLENCOE REGIONAL HEALTH SERVICES,"1805 HENNEPIN AVENUE NORTH
GLENCOE, MN
(44.77755, -94.151714)",4,217,38,NaN,NaN
87,AZ,APACHE,CHINLE,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD
CHINLE, AZ
",3,387,41,NaN,NaN
88,MN,CARLTON,CLOQUET,COMMUNITY MEMORIAL HOSPITAL,"512 SKYLINE BOULEVARD
CLOQUET, MN
(46.731844, -92.462459)",4,240,37,NaN,NaN
89,MN,CROW WING,CROSBY,CUYUNA REGIONAL MEDICAL CENTER,"320 EAST MAIN STREET
CROSBY, MN
(46.482408, -93.94525)",4,368,39,NaN,NaN
90,MN,STEARNS,SAUK CENTRE,CENTRACARE HEALTH SYSTEM - SAUK CENTRE,"425 NORTH ELM STREET
SAUK CENTRE, MN
(45.74589, -94.954567)",4,149,39,NaN,NaN
91,MN,WADENA,WADENA,TRI COUNTY HOSPITAL,"415 JEFFERSON STREET NORTH
WADENA, MN
(46.446565, -95.132748)",4,167,31,NaN,NaN
92,AZ,MARICOPA,MESA,ARIZONA SPINE AND JOINT HOSPITAL,"4620 EAST BASELINE ROAD
MESA, AZ
(33.379206, -111.734695)",5,595,57,NaN,NaN
93,MN,SCOTT,NEW PRAGUE,MAYO CLINIC HEALTH SYSTEM-NEW PRAGUE,"301 2ND STREET NORTHEAST
NEW PRAGUE, MN
(44.545926, -93.574903)",4,211,39,NaN,NaN
94,MN,WRIGHT,MONTICELLO,CENTRACARE HEALTH - MONTICELLO,"1013 HART BOULEVARD
MONTICELLO, MN
(45.30017, -93.779107)",4,304,35,NaN,NaN
95,MN,WILKIN,BRECKENRIDGE,ST FRANCIS MEDICAL CENTER,"2400 ST FRANCIS DRIVE
BRECKENRIDGE, MN
(46.291314, -96.590433)",3,110,25,NaN,NaN
96,MN,PENNINGTON,THIEF RIVER FALLS,SANFORD MEDICAL CENTER THIEF RIVER FALLS,"3001 SANFORD PARKWAY
THIEF RIVER FALLS, MN
(48.088654, -96.197788)",3,244,26,NaN,NaN
97,MN,BROWN,NEW ULM,NEW ULM MEDICAL CENTER,"1324 FIFTH NORTH STREET
NEW ULM, MN
(44.312504, -94.475174)",4,356,34,NaN,NaN
98,MN,OTTER TAIL,PERHAM,PERHAM HEALTH,"1000 CONEY STREET WEST
PERHAM, MN
(46.592685, -95.595165)",4,203,33,NaN,NaN
99,MN,HUBBARD,PARK RAPIDS,ST JOSEPHS AREA  HEALTH SERVICES,"600 PLEASANT AVENUE
PARK RAPIDS, MN
(46.9157, -95.061504)",4,283,26,NaN,NaN
100,MN,MORRISON,LITTLE FALLS,ST GABRIELS HOSPITAL,"815 SOUTHEAST SECOND STREET
LITTLE FALLS, MN
(45.967711, -94.362651)",4,294,30,NaN,NaN
101,MN,POPE,GLENWOOD,GLACIAL RIDGE HOSPITAL,"10 4TH AVENUE SOUTHEAST
GLENWOOD, MN
(45.646757, -95.38987)",5,178,34,NaN,NaN
102,MS,HARRISON,GULFPORT,MEMORIAL HOSPITAL AT GULFPORT,"4500 13TH STREET
GULFPORT, MS
(30.366928, -89.114907)",4,247,18,NaN,NaN
103,MS,MADISON,CANTON,MERIT HEALTH MADISON,"161 RIVER OAKS DRIVE
CANTON, MS
(32.582157, -90.081677)",3,227,20,NaN,NaN
104,MS,HINDS,JACKSON,UNIVERSITY OF MISSISSIPPI MED CENTER,"2500 N STATE ST
JACKSON, MS
(32.328783, -90.17558)",3,1886,15,NaN,NaN
105,MS,WARREN,VICKSBURG,MERIT HEALTH RIVER REGION,"2100 HWY 61 N
VICKSBURG, MS
(32.374802, -90.827497)",3,526,25,NaN,NaN
106,MS,HINDS,JACKSON,ST DOMINIC-JACKSON MEMORIAL HOSPITAL,"969 LAKELAND DR
JACKSON, MS
(32.333691, -90.165103)",3,1257,28,NaN,NaN
107,MS,JACKSON,PASCAGOULA,SINGING RIVER HOSPITAL,"2809 DENNY AV
PASCAGOULA, MS
(30.374871, -88.532404)",3,1319,17,NaN,NaN
108,MS,MONROE,AMORY,GILMORE MEMORIAL HOSPITAL,"1105 EARL FRYE BLVD
AMORY, MS
(33.977551, -88.477625)",4,385,23,NaN,NaN
109,MS,COAHOMA,CLARKSDALE,NORTHWEST MISSISSIPPI MEDICAL CENTER,"1970 HOSPITAL DRIVE
CLARKSDALE, MS
(34.197133, -90.552764)",3,503,23,NaN,NaN
110,MS,NESHOBA,PHILADELPHIA,NESHOBA COUNTY GENERAL HOSPITAL,"1001 HOLLAND AVENUE
PHILADELPHIA, MS
(32.757816, -89.105415)",4,181,28,NaN,NaN
111,MS,PRENTISS,BOONEVILLE,BAPTIST MEMORIAL HOSPITAL BOONEVILLE,"100 HOSPITAL DRIVE
BOONEVILLE, MS
(34.656337, -88.565763)",5,103,21,NaN,NaN
112,MS,ALCORN,CORINTH,MAGNOLIA REGIONAL HEALTH CENTER,"611 ALCORN DRIVE
CORINTH, MS
(34.935867, -88.558648)",4,510,21,NaN,NaN
113,MS,LAFAYETTE,OXFORD,BAPTIST MEMORIAL HOSPITAL NORTH MS,"1100 BELK BLVD
OXFORD, MS
(34.346609, -89.5212)",3,819,18,NaN,NaN
114,MS,WEBSTER,EUPORA,WEBSTER GENERAL HOSPITAL/ SWING BED,"70 MEDICAL PLAZA
EUPORA, MS
(33.534736, -89.266943)",3,109,18,NaN,NaN
115,AR,PULASKI,LITTLE ROCK,CHI-ST VINCENT INFIRMARY,"TWO ST VINCENT CIRCLE
LITTLE ROCK, AR
",3,1857,27,NaN,NaN
116,MS,HARRISON,BILOXI,MERIT HEALTH BILOXI,"150 REYNOIR STREET
BILOXI, MS
(30.396112, -88.890438)",2,785,20,NaN,NaN
117,MS,LEE,TUPELO,NORTH MISSISSIPPI MEDICAL CENTER,"830 S GLOSTER
TUPELO, MS
(34.242203, -88.717758)",4,1900,22,NaN,NaN
118,MS,PIKE,MAGNOLIA,BEACHAM MEMORIAL HOSPITAL,"205 N CHERRY STREET
MAGNOLIA, MS
(31.145626, -90.45929)",5,136,53,NaN,NaN
119,MS,FORREST,HATTIESBURG,MERIT HEALTH WESLEY,"5001 W HARDY ST
HATTIESBURG, MS
(31.323058, -89.3669)",4,532,26,NaN,NaN
120,VA,HANOVER,MECHANICSVILLE,BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER,"8260 ATLEE ROAD
MECHANICSVILLE, VA
(37.629352, -77.388102)",3,2048,26,NaN,NaN
121,MS,HINDS,JACKSON,MERIT HEALTH CENTRAL,"1850 CHADWICK DR
JACKSON, MS
(32.286929, -90.255755)",2,603,22,NaN,NaN
122,AR,CRAWFORD,VAN BUREN,SPARKS MEDICAL CENTER - VAN BUREN,"EAST MAIN AND SOUTH 20TH STREET
VAN BUREN, AR
",4,130,30,NaN,NaN
123,MS,OKTIBBEHA,STARKVILLE,OCH REGIONAL MEDICAL CENTER,"400 HOSPITAL ROAD /MAIL PO BOX 1506
STARKVILLE, MS
(33.474957, -88.820554)",3,340,19,NaN,NaN
124,AR,CRAIGHEAD,JONESBORO,ST BERNARDS MEDICAL CENTER,"225 E JACKSON
JONESBORO, AR
(35.837478, -90.702142)",4,3031,26,NaN,NaN
125,MS,LAUDERDALE,MERIDIAN,RUSH FOUNDATION HOSPITAL,"1314 19TH AVE
MERIDIAN, MS
(32.370664, -88.697779)",3,574,18,NaN,NaN
126,MS,YALOBUSHA,WATER VALLEY,YALOBUSHA GENERAL HOSPITAL,"630 SOUTH MAIN STREET
WATER VALLEY, MS
(34.1307, -89.641013)",4,137,25,NaN,NaN
127,MS,WAYNE,WAYNESBORO,WAYNE GENERAL HOSPITAL,"950 MATTHEW DR
WAYNESBORO, MS
(31.673601, -88.633312)",3,317,27,NaN,NaN
128,MS,JONES,LAUREL,SOUTH CENTRAL REG MED CTR,"1220 JEFFERSON ST BOX 607
LAUREL, MS
(31.685911, -89.14135)",3,500,29,NaN,NaN
129,MS,BOLIVAR,CLEVELAND,BOLIVAR MEDICAL CENTER,"901 E SUNFLOWER RD
CLEVELAND, MS
(33.747471, -90.708128)",4,498,28,NaN,NaN
130,MS,WASHINGTON,GREENVILLE,DELTA REGIONAL MEDICAL CENTER,"1400 E UNION ST
GREENVILLE, MS
(33.409907, -91.035243)",3,1345,31,NaN,NaN
131,MS,MARION,COLUMBIA,MARION GENERAL HOSPITAL,"1560 SUMRALL RD
COLUMBIA, MS
(31.256354, -89.806273)",3,139,34,NaN,NaN
132,MS,GEORGE,LUCEDALE,GEORGE REGIONAL HEALTH SYSTEM,"859 WINTER STREET
LUCEDALE, MS
(30.922235, -88.592853)",4,194,27,NaN,NaN
133,AR,OUACHITA,CAMDEN,OUACHITA COUNTY MEDICAL CENTER,"638 CALIFORNIA AVENUE
CAMDEN, AR
",4,281,26,NaN,NaN
134,MS,SIMPSON,MAGEE,MAGEE GENERAL HOSPITAL,"300 3RD AVE SE
MAGEE, MS
(31.870585, -89.728389)",4,115,28,NaN,NaN
135,MS,PEARL RIVER,PICAYUNE,HIGHLAND COMMUNITY  HOSPITAL,"130 HIGHLAND PKWY
PICAYUNE, MS
(30.552471, -89.665422)",3,151,13,NaN,NaN
136,MS,LAUDERDALE,MERIDIAN,ANDERSON REGIONAL MEDICAL CTR,"2124 14 ST
MERIDIAN, MS
(32.370775, -88.699858)",3,699,26,NaN,NaN
137,MS,LOWNDES,COLUMBUS,BAPTIST MEM HOSP/ GOLDEN TRIANGLE INC,"2520 5TH ST N
COLUMBUS, MS
(33.526488, -88.429071)",3,829,20,NaN,NaN
138,MS,DESOTO,SOUTHAVEN,BAPTIST MEMORIAL HOSPITAL DESOTO,"7601 SOUTHCREST PARKWAY
SOUTHAVEN, MS
(34.968348, -89.995535)",2,685,15,NaN,NaN
139,MS,HARRISON,GULFPORT,GARDEN PARK MEDICAL CENTER,"15200 COMMUNITY ROAD
GULFPORT, MS
(30.44201, -89.092766)",3,574,21,NaN,NaN
140,MS,TATE,SENATOBIA,NORTH OAK REGIONAL MEDICAL CENTER,"401 GETWELL DR
SENATOBIA, MS
(34.624678, -89.956744)",3,123,28,NaN,NaN
141,MS,PANOLA,BATESVILLE,PANOLA MEDICAL CENTER,"303 MEDICAL CENTER DRIVE
BATESVILLE, MS
(34.306319, -89.916488)",3,247,19,NaN,NaN
142,MS,RANKIN,FLOWOOD,MERIT HEALTH RIVER OAKS,"1030 RIVER OAKS DRIVE
FLOWOOD, MS
(32.32614, -90.106447)",3,602,26,NaN,NaN
143,MS,RANKIN,FLOWOOD,MERIT HEALTH WOMEN'S HOSPITAL,"1026 RIVER OAKS DRIVE
FLOWOOD, MS
(32.32583, -90.106656)",4,284,24,NaN,NaN
144,MS,HINDS,JACKSON,MISSISSIPPI BAPTIST MEDICAL CENTER,"1225 N STATE ST
JACKSON, MS
(32.314278, -90.178228)",4,569,35,NaN,NaN
145,MS,FORREST,HATTIESBURG,FORREST GENERAL HOSPITAL,"6051 US HIGHWAY 49
HATTIESBURG, MS
(31.318764, -89.328681)",3,2372,19,NaN,NaN
146,MS,RANKIN,BRANDON,MERIT HEALTH RANKIN,"350 CROSSGATES BLVD
BRANDON, MS
(32.286214, -90.03596)",2,325,24,NaN,NaN
