,State,County,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths,FIPS,Areaname,Land Area (Square Miles),Population per Square Mile
99,AR,Benton,1758,258291,680.63,686.7,0.06%,05007,"Benton, AR",847.36,304.8184950906344
100,AR,Boone,461,37304,1235.79,845.9,0.02%,05009,"Boone, AR",590.23,63.2024803890009
101,AR,Bradley,144,10996,1309.57,937.39,0.01%,05011,"Bradley, AR",649.23,16.936986892164565
102,AR,Calhoun,70,5144,1360.81,907.26,0.00%,05013,"Calhoun, AR",628.58,8.18352477011677
103,AR,Carroll,315,27646,1139.41,814.97,0.01%,05015,"Carroll, AR",630.09,43.87627164373343
104,AR,Chicot,148,10945,1352.22,932.55,0.01%,05017,"Chicot, AR",644.3,16.987428216669255
105,AR,Clark,260,22657,1147.55,966.27,0.01%,05019,"Clark, AR",866.07,26.160702945489394
106,AR,Clay,245,14920,1642.09,1074.88,0.01%,05021,"Clay, AR",639.47,23.331821664816175
107,AR,Cleburne,391,25264,1547.66,896.36,0.01%,05023,"Cleburne, AR",553.69,45.628420235149626
108,AR,Cleveland,120,8241,1456.13,1142.48,0.00%,05025,"Cleveland, AR",597.78,13.786008230452676
109,AR,Columbia,312,23901,1305.38,1000.4,0.01%,05027,"Columbia, AR",766.05,31.2003132954768
110,AR,Conway,273,20937,1303.91,923.83,0.01%,05029,"Conway, AR",552.25,37.912177455862384
111,AR,Craighead,944,105835,891.95,876.84,0.03%,05031,"Craighead, AR",707.21,149.651447236323
112,AR,Crawford,648,62267,1040.68,898.99,0.02%,05033,"Crawford, AR",593.09,104.98743866866748
113,AR,Crittenden,515,49235,1046,1044.09,0.02%,05035,"Crittenden, AR",609.76,80.74488323274731
114,AR,Cross,244,17037,1432.18,1103.84,0.01%,05037,"Cross, AR",616.38,27.64041662610727
115,AR,Dallas,125,7469,1673.58,1090.61,0.00%,05039,"Dallas, AR",667.39,11.191357377245689
116,AR,Desha,163,11876,1372.52,1083.91,0.01%,05041,"Desha, AR",768.15,15.460522033457007
117,AR,Drew,230,18651,1233.18,994.06,0.01%,05043,"Drew, AR",828.36,22.51557293930175
118,AR,Faulkner,976,122227,798.51,895.39,0.04%,05045,"Faulkner, AR",647.88,188.6568500339569
119,AR,Franklin,255,17626,1446.73,1103.27,0.01%,05047,"Franklin, AR",608.86,28.949183720395492
120,AR,Fulton,151,12123,1245.57,722.21,0.01%,05049,"Fulton, AR",618.19,19.61047574370339
121,AR,Garland,1379,97477,1414.69,950.27,0.05%,05051,"Garland, AR",677.78,143.81805305556375
122,AR,Grant,221,18082,1222.21,993.59,0.01%,05053,"Grant, AR",631.81,28.619363416216903
123,AR,Greene,490,44598,1098.7,994.11,0.02%,05055,"Greene, AR",577.7,77.19923835900985
124,AR,Hempstead,226,21974,1028.49,804.06,0.01%,05057,"Hempstead, AR",727.52,30.203980646580163
125,AR,Hot Spring,433,33374,1297.42,1012.23,0.02%,05059,"Hot Spring, AR",615.2,54.24902470741222
126,AR,Howard,155,13377,1158.71,897.2,0.01%,05061,"Howard, AR",588.55,22.728740124033642
127,AR,Independence,434,37168,1167.67,915.8,0.02%,05063,"Independence, AR",763.95,48.65239871719353
128,AR,Izard,182,13433,1354.87,809.71,0.01%,05065,"Izard, AR",580.58,23.13720761996624
129,AR,Jackson,238,17221,1382.03,1120.18,0.01%,05067,"Jackson, AR",633.94,27.165031390983373
130,AR,Jefferson,859,70016,1226.86,1044.01,0.03%,05069,"Jefferson, AR",870.75,80.4088429514786
131,AR,Johnson,258,26176,985.64,847.82,0.01%,05071,"Johnson, AR",659.8,39.67262806911185
132,AR,Lafayette,109,6847,1591.94,1060.02,0.00%,05073,"Lafayette, AR",528.27,12.961175156643383
133,AR,Lawrence,260,16735,1553.63,1089.35,0.01%,05075,"Lawrence, AR",587.61,28.479773999761747
134,AR,Lee,107,9310,1149.3,857.96,0.00%,05077,"Lee, AR",602.62,15.449205137565961
135,AR,Lincoln,142,13705,1036.12,930.12,0.01%,05079,"Lincoln, AR",561.52,24.40696680438809
136,AR,Little River,184,12451,1477.79,1105.76,0.01%,05081,"Little River, AR",532.25,23.393142320338185
137,AR,Logan,254,21792,1165.57,829.95,0.01%,05083,"Logan, AR",708.13,30.774010421815202
138,AR,Lonoke,701,72228,970.54,985.39,0.03%,05085,"Lonoke, AR",770.73,93.71375189755167
139,AR,Madison,192,16072,1194.62,958,0.01%,05087,"Madison, AR",834.26,19.264977345192147
140,AR,Marion,258,16325,1580.4,920.86,0.01%,05089,"Marion, AR",597.01,27.344600592954894
141,AR,Miller,522,43787,1192.13,1028.44,0.02%,05091,"Miller, AR",625.58,69.99424534032417
142,AR,Mississippi,514,42835,1199.95,1116.11,0.02%,05093,"Mississippi, AR",900.57,47.56432037487369
143,AR,Monroe,143,7169,1994.7,1323.58,0.01%,05095,"Monroe, AR",607.12,11.808209250230597
144,AR,Montgomery,154,8879,1734.43,962.79,0.01%,05097,"Montgomery, AR",779.88,11.38508488485408
145,AR,Nevada,130,8398,1547.99,1079.27,0.00%,05099,"Nevada, AR",617.84,13.59251586171177
146,AR,Newton,81,7936,1020.67,668.25,0.00%,05101,"Newton, AR",820.9,9.66743817760994
147,AR,Ouachita,345,24098,1431.65,1019.58,0.01%,05103,"Ouachita, AR",732.78,32.88572286361527
148,AR,Perry,131,10132,1292.93,987.23,0.00%,05105,"Perry, AR",551.4,18.375045339136744
149,AR,Phillips,254,18975,1338.6,1101.12,0.01%,05107,"Phillips, AR",695.66,27.276255642124028
150,AR,Pike,113,10832,1043.21,784.64,0.00%,05109,"Pike, AR",600.62,18.03469747927142
151,AR,Poinsett,348,24023,1448.61,1176.64,0.01%,05111,"Poinsett, AR",758.39,31.676314297393162
152,AR,Polk,243,20173,1204.58,828.6,0.01%,05113,"Polk, AR",857.68,23.52042719895532
153,AR,Pope,587,63779,920.37,851.73,0.02%,05115,"Pope, AR",812.55,78.49240046766353
154,AR,Prairie,105,8251,1272.57,823.9,0.00%,05117,"Prairie, AR",647.96,12.733810729057348
155,AR,Pulaski,3663,393250,931.47,839.27,0.13%,05119,"Pulaski, AR",759.76,517.5976624197115
156,AR,Randolph,230,17448,1318.2,914.31,0.01%,05121,"Randolph, AR",652.19,26.752940094144343
157,AR,Saline,1104,118703,930.05,770.13,0.04%,05125,"Saline, AR",723.6,164.04505251520177
158,AR,Scott,148,10277,1440.11,1113.18,0.01%,05127,"Scott, AR",892.32,11.51716872870719
159,AR,Searcy,133,7967,1669.39,1033.01,0.00%,05129,"Searcy, AR",666.1,11.960666566581594
160,AR,Sebastian,1288,127793,1007.88,883.78,0.05%,05131,"Sebastian, AR",531.91,240.25305032806304
161,AR,Sevier,163,16910,963.93,921.45,0.01%,05133,"Sevier, AR",565.13,29.92231875851574
162,AR,Sharp,285,17157,1661.13,1019.38,0.01%,05135,"Sharp, AR",604.44,28.38495135993647
163,AR,St. Francis,282,26196,1076.5,971.26,0.01%,05123,"St. Francis, AR",634.77,41.268490949477766
164,AR,Stone,173,12539,1379.7,811.15,0.01%,05137,"Stone, AR",606.41,20.677429461915207
165,AR,Union,514,39887,1288.64,1003.51,0.02%,05139,"Union, AR",1039.21,38.38204020361621
166,AR,Van Buren,244,16628,1467.4,852.03,0.01%,05141,"Van Buren, AR",708.14,23.48123252464202
167,AR,Washington,1603,228049,702.92,787.37,0.06%,05143,"Washington, AR",941.97,242.09794367124218
168,AR,White,841,79263,1061.02,928.98,0.03%,05145,"White, AR",1035.08,76.57668972446575
169,AR,Woodruff,114,6641,1716.61,1090.31,0.00%,05147,"Woodruff, AR",586.79,11.31750711498151
170,AR,Yell,259,21552,1201.74,956.66,0.01%,05149,"Yell, AR",929.98,23.174691928858685
171,AZ,Apache,681,73112,931.45,931.91,0.02%,04001,"Apache, AZ",11197.52,6.529302917074495
172,AZ,Cochise,1348,125770,1071.8,747.74,0.05%,04003,"Cochise, AZ",6165.69,20.398365795231353
173,AZ,Coconino,852,140908,604.65,682.37,0.03%,04005,"Coconino, AZ",18618.89,7.5680129159149665
174,AZ,Gila,835,53556,1559.12,963.4,0.03%,04007,"Gila, AZ",4757.93,11.256155513006705
175,AZ,Graham,279,37599,742.04,764.06,0.01%,04009,"Graham, AZ",4622.6,8.133734262103577
176,AZ,Greenlee,52,9613,540.93,564.19,0.00%,04011,"Greenlee, AZ",1843.13,5.215584359215031
177,AZ,La Paz,272,20317,1338.78,791.43,0.01%,04012,"La Paz, AZ",4499.63,4.515260143611808
178,AZ,Maricopa,30748,4242997,724.68,657.39,1.12%,04013,"Maricopa, AZ",9200.14,461.18830800400866
179,AZ,Mohave,3250,205249,1583.44,910.05,0.12%,04015,"Mohave, AZ",13311.08,15.419409995282125
180,AZ,Navajo,1016,110026,923.42,836.75,0.04%,04017,"Navajo, AZ",9950.42,11.057422701755304
181,AZ,Pima,9508,1016206,935.64,691.26,0.35%,04019,"Pima, AZ",9187.04,110.61299395670422
182,AZ,Pinal,3023,418540,722.27,582.17,0.11%,04021,"Pinal, AZ",5365.61,78.00417846246746
183,AZ,Santa Cruz,303,45985,658.91,540.99,0.01%,04023,"Santa Cruz, AZ",1236.92,37.17702034084662
184,AZ,Yavapai,2968,225562,1315.82,713.44,0.11%,04025,"Yavapai, AZ",8123.5,27.766603065181265
185,AZ,Yuma,1510,205631,734.33,565.22,0.06%,04027,"Yuma, AZ",5513.99,37.292595742828695
186,CA,Alameda,9920,1647704,602.05,571.37,0.36%,06001,"Alameda, CA",739.02,2229.579713674867
187,CA,Alpine,14,1071,Unreliable,Unreliable,0.00%,06003,"Alpine, CA",738.33,1.4505708829385233
188,CA,Amador,448,37383,1198.41,704.39,0.02%,06005,"Amador, CA",594.58,62.87295233610279
189,CA,Butte,2440,226864,1075.53,805.71,0.09%,06007,"Butte, CA",1636.46,138.63094728865966
190,CA,Calaveras,530,45171,1173.32,716.82,0.02%,06009,"Calaveras, CA",1020.01,44.28485995235341
191,CA,Colusa,161,21588,745.78,684.42,0.01%,06011,"Colusa, CA",1150.73,18.760265222945435
192,CA,Contra Costa,7713,1135127,679.48,580.64,0.28%,06013,"Contra Costa, CA",715.94,1585.50576863983
193,CA,Del Norte,299,27540,1085.69,879.73,0.01%,06015,"Del Norte, CA",1006.37,27.365680614485726
194,CA,El Dorado,1520,185625,818.86,607.4,0.06%,06017,"El Dorado, CA",1707.88,108.68737850434457
195,CA,Fresno,6717,979915,685.47,719.09,0.24%,06019,"Fresno, CA",5957.99,164.47073593611267
196,CA,Glenn,257,28085,915.08,775.07,0.01%,06021,"Glenn, CA",1313.95,21.37448152517219
197,CA,Humboldt,1373,136646,1004.79,851.18,0.05%,06023,"Humboldt, CA",3567.99,38.29775307666221
198,CA,Imperial,1121,180883,619.74,611.17,0.04%,06025,"Imperial, CA",4176.6,43.30867212565244
199,CA,Inyo,230,18144,1267.64,793.46,0.01%,06027,"Inyo, CA",10180.88,1.7821642137025484
200,CA,Kern,6038,884788,682.42,823.61,0.22%,06029,"Kern, CA",8131.92,108.80431681570896
201,CA,Kings,832,149785,555.46,691.59,0.03%,06031,"Kings, CA",1389.42,107.8039757596695
202,CA,Lake,853,64116,1330.4,922.95,0.03%,06033,"Lake, CA",1256.46,51.02908170574471
203,CA,Lassen,253,30870,819.57,748.53,0.01%,06035,"Lassen, CA",4541.18,6.797792644202608
204,CA,Los Angeles,63185,10137915,623.25,589.27,2.30%,06037,"Los Angeles, CA",4057.88,2498.327944641044
205,CA,Madera,1105,154697,714.3,717.16,0.04%,06039,"Madera, CA",2137.07,72.38742764626333
206,CA,Marin,1905,260651,730.86,463.86,0.07%,06041,"Marin, CA",520.31,500.95327785358734
207,CA,Mariposa,214,17410,1229.18,803.1,0.01%,06043,"Mariposa, CA",1448.82,12.016675639485927
208,CA,Mendocino,873,87628,996.26,725,0.03%,06045,"Mendocino, CA",3506.34,24.991301471049585
209,CA,Merced,1850,268672,688.57,788.68,0.07%,06047,"Merced, CA",1934.97,138.85073153588945
210,CA,Modoc,128,8795,1455.37,924.71,0.00%,06049,"Modoc, CA",3917.77,2.2448995219219094
211,CA,Mono,51,13981,364.78,337.9,0.00%,06051,"Mono, CA",3048.98,4.5854679269788585
212,CA,Monterey,2573,435232,591.18,569.22,0.09%,06053,"Monterey, CA",3280.6,132.66841431445468
213,CA,Napa,1242,142166,873.63,620.86,0.05%,06055,"Napa, CA",748.36,189.97006788176813
214,CA,Nevada,1023,99107,1032.22,615.28,0.04%,06057,"Nevada, CA",957.77,103.47682637794043
215,CA,Orange,19588,3172532,617.42,549.5,0.71%,06059,"Orange, CA",790.57,4012.967858633644
216,CA,Placer,3207,380531,842.77,595.31,0.12%,06061,"Placer, CA",1407.01,270.45365704579217
217,CA,Plumas,217,18627,1164.98,720.73,0.01%,06063,"Plumas, CA",2553.04,7.296007896468524
218,CA,Riverside,16227,2387741,679.6,635.61,0.59%,06065,"Riverside, CA",7206.48,331.33249519876557
219,CA,Sacramento,11260,1514460,743.5,691.69,0.41%,06067,"Sacramento, CA",964.64,1569.9742909271854
220,CA,San Benito,340,59414,572.26,597.62,0.01%,06069,"San Benito, CA",1388.71,42.783590526459804
221,CA,San Bernardino,14109,2140096,659.27,750.04,0.51%,06071,"San Bernardino, CA",20056.94,106.70102218982558
222,CA,San Diego,21420,3317749,645.62,594.16,0.78%,06073,"San Diego, CA",4206.63,788.695226345079
223,CA,San Francisco,5813,870887,667.48,539.41,0.21%,06075,"San Francisco, CA",46.87,18580.904629827182
224,CA,San Joaquin,5494,733709,748.8,764.84,0.20%,06077,"San Joaquin, CA",1391.32,527.3474110916252
225,CA,San Luis Obispo,2411,282887,852.28,611.18,0.09%,06079,"San Luis Obispo, CA",3298.57,85.7604962150265
226,CA,San Mateo,4737,764797,619.38,498.12,0.17%,06081,"San Mateo, CA",448.41,1705.5752547891439
227,CA,Santa Barbara,3156,446170,707.35,582.79,0.12%,06083,"Santa Barbara, CA",2735.09,163.12808719274318
228,CA,Santa Clara,10120,1919402,527.25,500.29,0.37%,06085,"Santa Clara, CA",1290.1,1487.7931943260214
229,CA,Santa Cruz,1744,274673,634.94,566.89,0.06%,06087,"Santa Cruz, CA",445.17,617.0069860951995
230,CA,Shasta,2270,179631,1263.7,885.09,0.08%,06089,"Shasta, CA",3775.4,47.57932934258621
231,CA,Sierra,36,2947,1221.58,663.6,0.00%,06091,"Sierra, CA",953.21,3.0916587110919944
232,CA,Siskiyou,614,43603,1408.16,892.79,0.02%,06093,"Siskiyou, CA",6277.89,6.945486461215472
233,CA,Solano,3271,440207,743.06,672.81,0.12%,06095,"Solano, CA",821.77,535.6815167260912
234,CA,Sonoma,4156,503070,826.13,606.71,0.15%,06097,"Sonoma, CA",1575.85,319.2372370466732
235,CA,Stanislaus,4294,541560,792.89,793.7,0.16%,06099,"Stanislaus, CA",1494.83,362.288688345832
236,CA,Sutter,869,96651,899.11,771.68,0.03%,06101,"Sutter, CA",602.41,160.44056373566175
237,CA,Tehama,693,63276,1095.2,827.93,0.03%,06103,"Tehama, CA",2949.71,21.45160032681179
238,CA,Trinity,154,12782,1204.82,788.42,0.01%,06105,"Trinity, CA",3179.25,4.0204450735236295
239,CA,Tulare,3023,460437,656.55,754.01,0.11%,06107,"Tulare, CA",4824.22,95.44278660591763
240,CA,Tuolumne,657,53804,1221.1,759.54,0.02%,06109,"Tuolumne, CA",2220.88,24.226432765390296
241,CA,Ventura,5563,849738,654.67,572.65,0.20%,06111,"Ventura, CA",1843.13,461.02987852186226
242,CA,Yolo,1290,215802,597.77,615.5,0.05%,06113,"Yolo, CA",1014.69,212.6777636519528
243,CA,Yuba,639,75275,848.89,926.75,0.02%,06115,"Yuba, CA",631.84,119.13617371486451
244,CO,Adams,2987,498187,599.57,760.35,0.11%,08001,"Adams, CO",1167.65,426.6578169828287
245,CO,Alamosa,155,16654,930.71,954.15,0.01%,08003,"Alamosa, CO",722.64,23.04605335990258
246,CO,Arapahoe,3903,637068,612.65,636.38,0.14%,08005,"Arapahoe, CO",798.1,798.2307981455957
247,CO,Archuleta,105,12854,816.87,589.51,0.00%,08007,"Archuleta, CO",1350.18,9.5202121198655
248,CO,Baca,45,3568,1261.21,574.61,0.00%,08009,"Baca, CO",2554.97,1.3964938922961914
249,CO,Bent,65,5861,1109.03,831.69,0.00%,08011,"Bent, CO",1512.86,3.87411921790516
250,CO,Boulder,1807,322226,560.79,559.51,0.07%,08013,"Boulder, CO",726.29,443.6602459072822
251,CO,Broomfield,345,66529,518.57,521.67,0.01%,08014,"Broomfield, CO",33.03,2014.199212836815
252,CO,Chaffee,183,19058,960.23,636.58,0.01%,08015,"Chaffee, CO",1013.4,18.805999605289127
